,risk_in_2021_22country,ISO3,riskrank,1 in X chance,anymk.ongoing,anymk.ever,imr.sqrt,gdppcgrowth.combined,battledeaths.ln,religiousfreedom,battledeaths,percent_chance_of_mass_killing,imr_per_1000,country,2023,2022,2021,2020
72,Timor-Leste,TLS,76,120,0,0,6.172519745,-8.702548486,0.0,4,0.0,0.0083,38.0,Timor-Leste,49,54,56,54
73,Argentina,ARG,77,122,0,1,2.863564213,-9.905234856,0.0,4,0.0,0.0082,8.0,Argentina,54,69,68,74
74,Malaysia,MYS,78,123,0,0,2.701851217,-5.587744678,0.0,2,0.0,0.0081,7.0,Malaysia,19,18,23,20
75,Equatorial Guinea,GNQ,79,126,0,1,7.771743691,-4.893356474,0.0,3,0.0,0.0079,60.0,Equatorial Guinea,82,59,62,=60
76,United States of America,USA,82,133,0,0,2.366431913,-3.486139557,0.0,4,0.0,0.0075,6.0,United States of America,131,129,122,121
77,Mauritania,MRT,83,134,0,0,7.078135348,-1.488487214,0.0,2,0.0,0.0075,50.0,Mauritania,114,112,118,=117
78,Saudi Arabia,SAU,84,136,0,0,2.387467277,-4.106583412,0.0,0,0.0,0.0074,6.0,Saudi Arabia,119,119,125,128
79,El Salvador,SLV,85,139,0,1,3.376388603,-7.943984613,0.0,4,0.0,0.0072,11.0,El Salvador,122,114,110,113
80,Bolivia,BOL,86,147,0,0,4.604345773,-7.82328995,0.0,4,0.0,0.0068,21.0,Bolivia,78,80,105,=86
81,Benin,BEN,87,148,0,0,7.681145748,3.8487924,0.0,4,0.0,0.0068,59.0,Benin,110,105,96,106
82,United Arab Emirates,ARE,88,151,0,0,2.529822128,1.677720371,0.0,3,0.0,0.0066,6.0,United Arab Emirates,75,60,52,41
83,Tunisia,TUN,89,151,0,0,3.807886553,-8.600310283,0.0,3,0.0,0.0066,15.0,Tunisia,81,85,98,92
84,Lebanon,LBN,90,163,0,0,2.48997992,-20.29999319,0.0,4,0.0,0.0061,6.0,Lebanon,135,138,147,146
85,Turkmenistan,TKM,91,163,0,0,6.024948133,0.065,0.0,1,0.0,0.0061,36.0,Turkmenistan,100,104,109,116
86,Canada,CAN,92,165,0,0,2.049390153,-5.402798553,0.0,4,0.0,0.0061,4.0,Canada,11,12,10,6
87,Guinea-Bissau,GNB,93,177,0,0,7.231873893,-2.399999999,0.0,4,0.0,0.0056,52.0,Guinea-Bissau,87,110,99,=101
88,Namibia,NAM,94,188,0,0,5.540758071,-7.983543825,0.0,4,0.0,0.0053,31.0,Namibia,56,68,65,53
89,Bosnia and Herzegovina,BIH,95,201,0,1,2.258317958,-4.327345806,0.0,3,0.0,0.005,5.0,Bosnia and Herzegovina,61,58,72,79
90,Cuba,CUB,96,204,0,1,1.949358869,0.016,0.0,3,0.0,0.0049,4.0,Cuba,99,98,87,=86
91,Belarus,BLR,97,208,0,0,1.549193338,-0.9,0.0,2,0.0,0.0048,2.0,Belarus,116,116,117,94
92,Botswana,BWA,98,216,0,0,5.683308895,-7.893053589,0.0,4,0.0,0.0046,32.0,Botswana,42,=48,41,33
93,Croatia,HRV,99,218,0,0,2.024845673,-8.367378217,0.0,4,0.0,0.0046,4.0,Croatia,14,15,=17,26
94,Kazakhstan,KAZ,100,223,0,0,3.049590136,-2.6,0.0,2,0.0,0.0045,9.0,Kazakhstan,76,97,67,70
95,Honduras,HND,102,230,0,0,3.807886553,-8.964760184,0.0,4,0.0,0.0043,15.0,Honduras,120,117,124,119
96,Djibouti,DJI,103,231,0,0,6.957010852,0.5,0.0,3,0.0,0.0043,48.0,Djibouti,112,113,106,112
97,Kuwait,KWT,104,248,0,0,2.607680962,0.412348553,0.0,3,0.0,0.004,7.0,Kuwait,35,39,36,=39
98,South Korea,KOR,105,253,0,1,1.643167673,-0.957766224,0.0,4,0.0,0.004,3.0,South Korea,43,43,57,48
99,Paraguay,PRY,106,256,0,0,4.074309757,-1.0,0.0,4,0.0,0.0039,17.0,Paraguay,=68,77,75,75
100,Poland,POL,107,263,0,1,1.949358869,-2.701709195,0.0,4,0.0,0.0038,4.0,Poland,29,25,24,29
101,Australia,AUS,108,270,0,0,1.760681686,-0.284839298,0.0,4,0.0,0.0037,3.0,Australia,22,27,16,13
102,Ecuador,ECU,109,271,0,0,3.464101615,-7.750123377,0.0,4,0.0,0.0037,12.0,Ecuador,=97,79,88,90
103,Romania,ROU,110,273,0,1,2.387467277,-3.859373593,0.0,4,0.0,0.0037,6.0,Romania,31,31,25,22
104,Germany,DEU,111,276,0,0,1.788854382,-4.89654545,0.0,4,0.0,0.0036,3.0,Germany,15,16,=17,16
105,Panama,PAN,112,281,0,0,3.577708764,-17.94933167,0.0,4,0.0,0.0036,13.0,Panama,=68,61,64,56
106,Israel,ISR,113,282,0,0,1.732050808,-2.439985916,0.0,4,0.0,0.0035,3.0,Israel,143,134,143,145
107,The Gambia,GMB,114,289,0,0,5.991660872,0.0,0.0,4,0.0,0.0035,36.0,The Gambia,59,45,53,=60
108,Chile,CHL,115,300,0,1,2.449489743,-5.771501669,0.0,4,0.0,0.0033,6.0,Chile,58,55,49,45
109,Moldova,MDA,117,308,0,0,3.521363372,-6.969046296,0.0,4,0.0,0.0032,12.0,Moldova,57,=62,=59,71
110,United Kingdom,GBR,118,308,0,0,1.923538406,-9.790240362,0.0,4,0.0,0.0032,4.0,United Kingdom,37,34,33,42
111,Japan,JPN,119,312,0,0,1.341640786,0.65415165,0.0,4,0.0,0.0032,2.0,Japan,9,10,12,9
112,Trinidad and Tobago,TTO,120,317,0,0,3.962322551,-7.831876497,0.0,4,0.0,0.0032,16.0,Trinidad and Tobago,=70,88,84,88
113,Lesotho,LSO,121,322,0,0,8.252272414,-11.06099374,0.0,4,0.0,0.0031,68.0,Lesotho,111,100,112,98
114,Georgia,GEO,122,324,0,1,2.915475947,-6.159672928,0.0,3,0.0,0.0031,8.0,Georgia,94,95,89,=95
115,Jamaica,JAM,123,344,0,0,3.449637662,-10.2,0.0,4,0.0,0.0029,12.0,Jamaica,77,=81,74,80
116,Mauritius,MUS,124,348,0,0,3.78153408,-14.86783129,0.0,4,0.0,0.0029,14.0,Mauritius,23,28,28,23
117,Spain,ESP,125,351,0,0,1.61245155,-10.83894734,0.0,4,0.0,0.0028,3.0,Spain,32,29,31,38
118,Montenegro,MNE,126,351,0,0,1.414213562,-15.15898443,0.0,3,0.0,0.0028,2.0,Montenegro,45,=48,51,69
119,Italy,ITA,127,362,0,0,1.643167673,-8.871146348,0.0,4,0.0,0.0028,3.0,Italy,34,32,32,31
120,Bulgaria,BGR,128,367,0,1,2.366431913,-4.15370283,0.0,4,0.0,0.0027,6.0,Bulgaria,30,24,27,28
121,Slovenia,SVN,129,367,0,0,1.303840481,-5.532207845,0.0,4,0.0,0.0027,2.0,Slovenia,8,7,5,11
122,France,FRA,130,375,0,0,1.949358869,-8.114907097,0.0,4,0.0,0.0027,4.0,France,67,=65,55,66
123,Hungary,HUN,131,378,0,1,1.732050808,-4.956748517,0.0,4,0.0,0.0026,3.0,Hungary,18,13,19,24
124,Armenia,ARM,132,399,0,0,3.240370349,-7.6,0.0,3,0.0,0.0025,10.0,Armenia,66,83,94,=99
125,Serbia,SRB,133,399,0,0,2.144761059,-0.979714616,0.0,4,0.0,0.0025,5.0,Serbia,65,52,44,51
126,Qatar,QAT,134,457,0,0,2.366431913,-3.667835526,0.0,1,0.0,0.0022,6.0,Qatar,21,23,29,27
127,Belgium,BEL,135,485,0,0,1.643167673,-6.283929951,0.0,4,0.0,0.0021,3.0,Belgium,20,22,20,=17
128,Albania,ALB,136,486,0,1,2.93257566,-3.311239444,0.0,4,0.0,0.0021,9.0,Albania,40,41,48,55
129,Switzerland,CHE,137,494,0,0,1.897366596,-2.870251911,0.0,4,0.0,0.002,4.0,Switzerland,10,11,7,10
130,Singapore,SGP,138,502,0,0,1.449137675,-5.391021406,0.0,3,0.0,0.002,2.0,Singapore,6,9,11,7
131,Czech Republic,CZE,139,504,0,0,1.58113883,-5.602303764,0.0,4,0.0,0.002,2.0,Czech Republic,12,8,9,8
132,Mongolia,MNG,140,511,0,0,3.660601044,-5.335552017,0.0,4,0.0,0.002,13.0,Mongolia,44,42,=42,=39
133,Bhutan,BTN,141,543,0,0,4.878524367,-6.772101611,0.0,2,0.0,0.0018,24.0,Bhutan,17,19,22,19
134,Netherlands,NLD,142,557,0,0,1.870828693,-3.741328235,0.0,4,0.0,0.0018,3.0,Netherlands,16,21,21,21
135,Oman,OMN,143,560,0,0,3.130495168,0.5,0.0,3,0.0,0.0018,10.0,Oman,48,64,73,68
136,New Zealand,NZL,144,570,0,0,1.974841766,0.981029013,0.0,4,0.0,0.0018,4.0,New Zealand,4,2,2,2
137,Greece,GRC,146,612,0,0,1.816590212,-8.247736115,0.0,3,0.0,0.0016,3.0,Greece,60,53,66,=57
138,Slovakia,SVK,147,612,0,0,2.167948339,-4.754325341,0.0,3,0.0,0.0016,5.0,Slovakia,26,20,26,25
139,Guyana,GUY,148,633,0,0,4.939635614,43.47951463,0.0,4,0.0,0.0016,24.0,Guyana,106,107,=100,82
140,Costa Rica,CRI,149,637,0,0,2.738612788,-4.539965917,0.0,4,0.0,0.0016,8.0,Costa Rica,39,38,39,32
141,Austria,AUT,150,649,0,0,1.673320053,-6.590410425,0.0,3,0.0,0.0015,3.0,Austria,5,5,6,4
142,Latvia,LVA,151,664,0,0,1.760681686,-3.623683916,0.0,4,0.0,0.0015,3.0,Latvia,27,35,35,34
143,Portugal,PRT,152,719,0,0,1.760681686,-7.563616423,0.0,4,0.0,0.0014,3.0,Portugal,7,6,4,3
144,Sweden,SWE,153,726,0,0,1.449137675,-2.817819572,0.0,4,0.0,0.0014,2.0,Sweden,28,26,15,15
145,Uruguay,URY,154,746,0,0,2.469817807,-5.858721243,0.0,4,0.0,0.0013,6.0,Uruguay,50,46,47,35
146,Cyprus,CYP,155,752,0,0,1.341640786,-5.103479519,0.0,4,0.0,0.0013,2.0,Cyprus,64,67,61,=64
147,Lithuania,LTU,156,773,0,0,1.732050808,-0.87190554,0.0,4,0.0,0.0013,3.0,Lithuania,36,37,37,36
148,Ireland,IRL,157,782,0,0,1.673320053,3.417815527,0.0,4,0.0,0.0013,3.0,Ireland,3,3,8,12
149,Finland,FIN,158,791,0,0,1.378404875,-2.773576706,0.0,4,0.0,0.0013,2.0,Finland,13,14,13,14
150,Norway,NOR,159,836,0,0,1.414213562,-0.762477535,0.0,4,0.0,0.0012,2.0,Norway,24,17,14,=17
151,Denmark,DNK,161,867,0,0,1.788854382,-2.733288945,0.0,4,0.0,0.0012,3.0,Denmark,2,4,3,5
152,Estonia,EST,162,935,0,0,1.378404875,-2.932248056,0.0,4,0.0,0.0011,2.0,Estonia,25,33,30,30
